阜南	阜阳
南召	南阳
平定	阳泉
萧县	宿州
涪陵	重庆
平安	海东
清城	清远
奉节	重庆
五峰土家族	宜昌
闽清	福州
新田	永州
文峰	安阳
谷城	襄阳
江干	杭州
南票	葫芦岛
彭水	重庆
榕城	揭阳
沙县	三明
马山	南宁
香河	廊坊
克东	齐齐哈尔
大英	遂宁
准格尔旗	鄂尔多斯
河北	天津
水富	昭通
沂南	临沂
七星	桂林
雁塔	西安
阿拉善左旗	阿拉善盟
贺兰	银川
赫章	毕节
崇阳	咸宁
沽源	张家口
荣昌	重庆
连山	葫芦岛
安阳	安阳
改则	阿里
岳阳	岳阳
苏仙	郴州
桂阳	郴州
马尾	福州
苏家屯	沈阳
万州	重庆
永春	泉州
桓仁满族	本溪
渑池	三门峡
袁州	宜春
永昌	金昌
青川	广元
渭滨	宝鸡
富裕	齐齐哈尔
乌当	贵阳
河口	东营
宁都	赣州
加格达奇	大兴安岭
武山	天水
正蓝旗	锡林郭勒盟
浔阳	九江
共青城	九江
建邺	南京
绥德	榆林
常山	衢州
宝兴	雅安
保康	襄阳
上饶	上饶
长白朝鲜族	白山
石林彝族	昆明
石门	常德
洛浦	和田
彭泽	九江
潮阳	汕头
闸北	上海
夏邑	商丘
渝北	重庆
开封	开封
青山	包头
赛罕	呼和浩特
商南	商洛
横峰	上饶
浪卡子	山南
古县	临汾
城固	汉中
盘龙	昆明
涪城	绵阳
鹿邑	周口
相城	苏州
杞县	开封
瀍河回族	洛阳
梁山	济宁
罗山	信阳
定兴	保定
扎鲁特旗	通辽
秀屿	莆田
振安	丹东
腾冲	保山
遂平	驻马店
金湾	珠海
金乡	济宁
大渡口	重庆
莒南	临沂
镇平	南阳
金湖	淮安
湖滨	三门峡
察哈尔右翼中旗	乌兰察布
全南	赣州
八公山	淮南
屏南	宁德
桃山	七台河
花溪	贵阳
成华	成都
岫岩满族	鞍山
黑山	锦州
开鲁	通辽
莒县	日照
横山	榆林
荆州	荆州
淄川	淄博
林芝	林芝
金溪	抚州
新和	阿克苏
镇康	临沧
聂拉木	日喀则
固始	信阳
北川羌族	绵阳
民权	商丘
香洲	珠海
乌鲁木齐	乌鲁木齐
尤溪	三明
大悟	孝感
镇沅彝族哈尼族拉祜族	普洱
洛江	泉州
杜集	淮北
昌图	铁岭
城阳	青岛
宛城	南阳
井陉矿	石家庄
叶县	平顶山
鄂托克旗	鄂尔多斯
保德	忻州
大荔	渭南
越城	绍兴
宣州	宣城
市中	内江
连南瑶族	清远
汉南	武汉
通川	达州
通州	北京
攸县	株洲
中江	德阳
思明	厦门
赞皇	石家庄
政和	南平
下陆	黄石
西林	百色
双牌	永州
蕉岭	梅州
忻府	忻州
洪雅	眉山
岷县	定西
卢龙	秦皇岛
新青	伊春
西乌珠穆沁旗	锡林郭勒盟
安吉	湖州
巴里坤哈萨克	哈密
策勒	和田
永和	临汾
虞城	商丘
天桥	济南
乡宁	临汾
沙依巴克	乌鲁木齐
兴业	玉林
四方	青岛
泽州	晋城
博爱	焦作
壁山	重庆
游仙	绵阳
千山	鞍山
清新	清远
柳林	吕梁
丹凤	商洛
玉泉	呼和浩特
武鸣	南宁
卫东	平顶山
伊吾	哈密
关岭布依族苗族	安顺
三山	芜湖
商都	乌兰察布
灌南	连云港
含山	巢湖
远安	宜昌
桑植	张家界
将乐	三明
武平	龙岩
昭阳	昭通
泾县	宣城
周至	西安
四方台	双鸭山
于都	赣州
逊克	黑河
竹山	十堰
洋县	汉中
北戴河	秦皇岛
江岸	武汉
玄武	南京
融安	柳州
邵阳	邵阳
广宗	邢台
泗水	济宁
崂山	青岛
二道江	通化
衢江	衢州
青羊	成都
松桃苗族	铜仁
萝北	鹤岗
金水	郑州
紫云苗族布依族	安顺
礼县	陇南
玉屏侗族	铜仁
昔阳	晋中
龙文	漳州
高青	淄博
铜梁	重庆
古冶	唐山
察雅	昌都
定南	赣州
建华	齐齐哈尔
万年	上饶
蓝山	永州
三门	台州
涟水	淮安
内乡	南阳
荔城	莆田
梁平	重庆
罗平	曲靖
江宁	南京
石阡	铜仁
桐柏	南阳
麦盖提	喀什
镜湖	芜湖
上高	宜春
肇源	大庆
船营	吉林
塔河	大兴安岭
亭湖	盐城
内丘	邢台
宁化	三明
察隅	林芝
集美	厦门
茅箭	十堰
丛台	邯郸
潜山	安庆
玉龙纳西族	丽江
开平	唐山
广宁	肇庆
江州	崇左
江川	玉溪
武强	衡水
台江	福州
翁源	韶关
元宝	丹东
福海	阿勒泰
芷江侗族	怀化
赵县	石家庄
金沙	毕节
青阳	池州
下城	杭州
滨海新	天津
汤原	佳木斯
晋源	太原
奈曼旗	通辽
南岳	衡阳
颍州	阜阳
通山	咸宁
水磨沟	乌鲁木齐
罗庄	临沂
芗城	漳州
芝罘	烟台
夏县	运城
经济技术开发	秦皇岛
云梦	孝感
天心	长沙
庆城	庆阳
马龙	曲靖
平顺	长治
固安	廊坊
信丰	赣州
泗洪	宿迁
噶尔	阿里
灞桥	西安
宁县	庆阳
田林	百色
沙坡头	中卫
城口	重庆
西盟佤族	普洱
西塞山	黄石
城子河	鸡西
潼关	渭南
潼南	重庆
白朗	日喀则
屯溪	黄山
莲都	丽水
阳曲	太原
青神	眉山
烈山	淮北
榆次	晋中
湾里	南昌
翁牛特旗	赤峰
仙居	台州
城厢	莆田
锡山	无锡
绍兴	绍兴
松溪	南平
旌阳	德阳
赤坎	湛江
新兴	七台河
周村	淄博
桦川	佳木斯
太和	锦州
仙游	莆田
富民	昆明
舒城	六安
淮阳	周口
淮阴	淮安
包河	合肥
红海湾经济开发试验	汕尾
高明	佛山
温县	焦作
原州	固原
澧县	常德
开福	长沙
抚远	佳木斯
鄢陵	许昌
戚墅堰	常州
邢台	邢台
余江	鹰潭
万秀	梧州
阜城	衡水
南川	重庆
镇安	商洛
利辛	亳州
鹤庆	大理
长垣	新乡
青秀	南宁
环江毛南族	河池
延川	延安
惠东	惠州
莲湖	西安
东宝	荆门
东海	连云港
平罗	石嘴山
星子	九江
城区	汕尾
阳明	牡丹江
尉氏	开封
蚌山	蚌埠
明山	本溪
新野	南阳
凤山	河池
赤城	张家口
广平	邯郸
永登	兰州
东辽	辽源
绥宁	邵阳
凤庆	临沧
明溪	三明
武城	德州
沭阳	宿迁
西山	昆明
淇滨	鹤壁
渭源	定西
东湖	南昌
融水苗族	柳州
江孜	日喀则
分宜	新余
临邑	德州
下关	南京
榆社	晋中
都安瑶族	河池
清苑	保定
汉沽	天津
黎城	长治
鲁山	平顶山
六枝特	六盘水
南山	深圳
光明	深圳
坪山	深圳
东乡	抚州
东安	永州
崇川	南通
齐河	德州
兴县	吕梁
任县	邢台
鄯善	吐鲁番
沙雅	阿克苏
安化	益阳
庆元	丽水
息烽	贵阳
五寨	忻州
乌拉特中旗	巴彦淖尔
索县	那曲
富川瑶族	贺州
定陶	菏泽
拜泉	齐齐哈尔
古城	丽江
东丰	辽源
东丽	天津
沁水	晋城
东港	日照
甘谷	天水
旅顺口	大连
容城	保定
甘泉	延安
尚义	张家口
海港	秦皇岛
遂溪	湛江
海丰	汕尾
商城	信阳
潮南	汕头
新邱	阜新
巴林右旗	赤峰
新邵	邵阳
陇县	宝鸡
乾县	咸阳
芦淞	株洲
长阳土家族	宜昌
嘉荫	伊春
濉溪	淮北
清原满族	抚顺
阜新蒙古族	阜新
二道	长春
封开	肇庆
颍泉	阜阳
东源	河源
乌拉特后旗	巴彦淖尔
阳朔	桂林
南岗	哈尔滨
黄石港	黄石
南岔	伊春
江安	宜宾
孝昌	孝感
云溪	岳阳
秦淮	南京
正安	遵义
宜阳	洛阳
安县	绵阳
正宁	庆阳
赣榆	连云港
新都	成都
正定	石家庄
珠晖	衡阳
铁山港	北海
南岸	重庆
新化	娄底
新北	常州
曲江	韶关
乐都	海东
宁陕	安康
万山特	铜仁
汤阴	安阳
利津	东营
临县	吕梁
扎赉特旗	兴安盟
淇县	鹤壁
新巴尔虎左旗	呼伦贝尔
喀喇沁旗	赤峰
宁陵	商丘
泉港	泉州
太子河	辽阳
两当	陇南
巧家	昭通
柘城	商丘
唐海	唐山
平川	白银
南开	天津
徽县	陇南
双阳	长春
北仑	宁波
邗江	扬州
白云鄂博矿	包头
新华	沧州
炎陵	株洲
鹤山	鹤壁
曲水	拉萨
东洲	抚顺
城步苗族	邵阳
海淀	北京
沧源佤族	临沧
宁阳	泰安
张北	张家口
永胜	丽江
盂县	阳泉
凉州	武威
红古	兰州
太白	宝鸡
汾西	临汾
临猗	运城
天河	广州
陆川	玉林
缙云	丽水
城关	兰州
陵县	德州
松江	上海
夹江	乐山
新县	信阳
惠民	滨州
银州	铁岭
会同	怀化
禄劝彝族苗族	昆明
香格里拉	迪庆
靖州苗族侗族	怀化
墨脱	林芝
北湖	郴州
柏乡	邢台
曲沃	临汾
兴文	宜宾
芦溪	萍乡
万安	吉安
顺昌	南平
乌什	阿克苏
丰顺	梅州
李沧	青岛
舞阳	漯河
大祥	邵阳
宝坻	天津
赫山	益阳
富源	曲靖
海沧	厦门
大新	崇左
汉源	雅安
铁锋	齐齐哈尔
大方	毕节
兰西	绥化
思茅	普洱
辽中	沈阳
延平	南平
于田	和田
平鲁	朔州
西区	攀枝花
鲤城	泉州
鱼峰	柳州
方城	南阳
奉新	宜春
武宁	九江
西乡	汉中
北辰	天津
茂港	茂名
南市	保定
泾阳	咸阳
江夏	武汉
集宁	乌兰察布
江城哈尼族彝族	普洱
文安	廊坊
蓟县	天津
怀来	张家口
阳新	黄石
深泽	石家庄
射阳	盐城
虎丘	苏州
叙永	泸州
歙县	黄山
凤翔	宝鸡
威县	邢台
卓资	乌兰察布
唐河	南阳
宁城	赤峰
措勤	阿里
丁青	昌都
杭锦后旗	巴彦淖尔
古田	宁德
余干	上饶
巫溪	重庆
墨江哈尼族	普洱
梅县	梅州
法库	沈阳
昌邑	吉林
额济纳旗	阿拉善盟
张店	淄博
岳阳楼	岳阳
合川	重庆
望江	安庆
宜君	铜川
